game_id,gameId,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,STARTER,START_POSITION,source,date
401856943,401856943,LVA,3099736,Stephanie Talbot,7.0,2,3,1,0,0,1,1,2,0,1,1,0,0,0,0,-3.0,True,F,espn,2026-05-28
401856943,401856943,LVA,4398776,NaLyssa Smith,27.0,9,12,0,0,1,1,4,8,3,4,5,0,0,1,4,-11.0,True,F,espn,2026-05-28
401856943,401856943,LVA,3149391,A'ja Wilson,35.0,21,7,3,1,0,2,1,6,0,10,24,1,1,0,1,-12.0,True,C,espn,2026-05-28
401856943,401856943,LVA,2529122,Chelsea Gray,34.0,8,3,8,1,1,1,0,3,3,2,10,1,4,3,3,-2.0,True,G,espn,2026-05-28
401856943,401856943,LVA,4065870,Jackie Young,33.0,15,3,7,1,0,0,1,2,2,7,20,1,5,0,0,-15.0,True,G,espn,2026-05-28
401856943,401856943,LVA,2529458,Cheyenne Parker-Tyus,8.0,9,2,0,0,0,0,1,1,3,3,5,1,1,2,2,7.0,False,,espn,2026-05-28
401856943,401856943,LVA,4433633,Kierstan Bell,9.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-1.0,False,,espn,2026-05-28
401856943,401856943,LVA,2987869,Jewell Loyd,28.0,9,2,1,0,1,0,0,2,1,3,6,2,5,1,2,-6.0,False,,espn,2026-05-28
401856943,401856943,LVA,4280892,Chennedy Carter,19.0,14,1,0,1,0,0,0,1,2,6,11,2,4,0,0,3.0,False,,espn,2026-05-28
401856943,401856943,LVA,3142086,Brianna Turner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856943,401856943,LVA,4565501,Janiah Barker,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856943,401856943,DAL,3906949,Jessica Shepard,38.0,22,20,10,0,0,2,4,16,3,8,13,0,1,6,6,13.0,True,F,espn,2026-05-28
401856943,401856943,DAL,4399415,Maddy Siegrist,17.0,8,7,1,0,0,0,2,5,2,3,7,2,3,0,0,-1.0,True,F,espn,2026-05-28
401856943,401856943,DAL,3904577,Arike Ogunbowale,18.0,1,0,2,0,0,1,0,0,2,0,4,0,1,1,1,-5.0,True,G,espn,2026-05-28
401856943,401856943,DAL,4433730,Paige Bueckers,38.0,20,3,6,0,2,3,1,2,2,8,18,2,6,2,3,15.0,True,G,espn,2026-05-28
401856943,401856943,DAL,4433790,Azzi Fudd,38.0,22,3,2,1,1,0,1,2,1,9,15,3,5,1,2,15.0,True,G,espn,2026-05-28
401856943,401856943,DAL,924,Alysha Clark,18.0,6,0,1,0,0,1,0,0,4,1,2,1,2,3,4,11.0,False,,espn,2026-05-28
401856943,401856943,DAL,4790266,Awak Kuier,21.0,12,4,0,0,2,1,0,4,1,3,5,2,3,4,4,7.0,False,,espn,2026-05-28
401856943,401856943,DAL,2529047,Odyssey Sims,6.0,2,1,0,0,0,2,0,1,0,0,0,0,0,2,2,-7.0,False,,espn,2026-05-28
401856943,401856943,DAL,4433807,Aziaha James,6.0,2,1,1,0,0,0,0,1,1,1,3,0,1,0,0,-8.0,False,,espn,2026-05-28
401856943,401856943,DAL,4594527,Dulcy Fankam Mendjiadeu,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856943,401856943,DAL,4336633,Li Yueru,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856943,401856943,DAL,4434015,JJ Quinerly,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856944,401856944,IND,3142255,Monique Billings,19.0,4,5,2,0,1,0,2,3,2,1,2,0,1,2,2,-7.0,True,F,espn,2026-05-28
401856944,401856944,IND,4432831,Aliyah Boston,22.0,13,6,4,0,0,2,2,4,4,4,11,1,3,4,4,-2.0,True,C,espn,2026-05-28
401856944,401856944,IND,3142191,Kelsey Mitchell,30.0,14,1,3,0,0,1,0,1,5,5,13,2,5,2,3,-6.0,True,G,espn,2026-05-28
401856944,401856944,IND,4398829,Lexie Hull,23.0,5,6,0,1,0,1,1,5,3,2,7,1,3,0,0,2.0,True,G,espn,2026-05-28
401856944,401856944,IND,4433403,Caitlin Clark,29.0,16,4,6,3,1,5,0,4,4,3,12,2,6,8,8,-2.0,True,G,espn,2026-05-28
401856944,401856944,IND,3142055,Myisha Hines-Allen,16.0,2,1,1,0,1,0,0,1,1,1,4,0,0,0,0,-2.0,False,,espn,2026-05-28
401856944,401856944,IND,4433546,Makayla Timpson,15.0,7,5,2,1,1,0,2,3,3,3,3,0,0,1,2,2.0,False,,espn,2026-05-28
401856944,401856944,IND,3907781,Sophie Cunningham,25.0,11,2,2,2,0,1,0,2,2,4,11,1,7,2,2,1.0,False,,espn,2026-05-28
401856944,401856944,IND,4433797,Raven Johnson,21.0,16,4,2,0,1,1,0,4,1,7,10,2,3,0,0,4.0,False,,espn,2026-05-28
401856944,401856944,IND,5105731,Grace VanSlooten,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856944,401856944,IND,2955898,Damiris Dantas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856944,401856944,IND,4065760,Tyasha Harris,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,,espn,2026-05-28
401856944,401856944,GSV,2529622,Kayla Thornton,18.0,0,3,0,0,0,1,0,3,2,0,2,0,2,0,0,0.0,True,F,espn,2026-05-28
401856944,401856944,GSV,3142328,Gabby Williams,28.0,19,6,6,3,0,1,1,5,1,6,14,0,4,7,10,-2.0,True,F,espn,2026-05-28
401856944,401856944,GSV,2590093,Kiah Stokes,26.0,4,4,2,0,4,2,1,3,1,2,4,0,0,0,0,-2.0,True,C,espn,2026-05-28
401856944,401856944,GSV,4065780,Kaila Charles,15.0,7,4,1,0,0,1,1,3,1,3,5,1,2,0,0,-8.0,True,G,espn,2026-05-28
401856944,401856944,GSV,4398935,Veronica Burton,29.0,25,6,3,1,5,1,2,4,5,7,13,1,3,10,12,-2.0,True,G,espn,2026-05-28
