date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-02-03,2026-02-04T00:40:00Z,Miami Heat,Atlanta Hawks,-106.93502590658073,106.93502590658079,-1.0,1.0,-110,-110,236.0,100.13859245502674,-100.13859245502672,11,11,7,6,oddsapi_consensus
2026-02-03,2026-02-04T00:12:00Z,Detroit Pistons,Denver Nuggets,-219.4351062117316,219.43510621173155,-7.5,7.5,-110,-110,224.5,102.326805176032,-102.326805176032,10,10,5,3,oddsapi_consensus
2026-02-03,2026-02-04T00:42:00Z,Brooklyn Nets,Los Angeles Lakers,276.8952147911355,-276.8952147911356,8.0,-8.0,-105,-115,223.0,-101.96270805580315,101.96270805580316,11,11,7,7,oddsapi_consensus
2026-02-03,2026-02-04T00:11:00Z,Indiana Pacers,Utah Jazz,111.54320587316845,-111.54320587316845,1.5,-1.5,135,-180,232.5,-101.937808101209,101.93780810120904,10,10,5,5,oddsapi_consensus
2026-02-03,2026-02-04T04:10:00Z,Portland Trail Blazers,Phoenix Suns,138.76495847444855,-138.7649584744486,3.0,-3.0,145,-190,219.0,100.16633399866934,-100.1663339986693,11,11,8,5,oddsapi_consensus
2026-02-03,2026-02-04T01:10:00Z,Milwaukee Bucks,Chicago Bulls,109.38818568904794,-109.3881856890479,1.5,-1.5,105,-135,221.5,100.54318305268875,-100.54318305268875,11,11,11,8,oddsapi_consensus
2026-02-03,2026-02-04T00:13:00Z,Washington Wizards,New York Knicks,666.6979487848167,-666.6979487848171,16.5,-16.5,-110,-110,224.5,-101.35869565217395,101.3586956521739,10,10,4,3,oddsapi_consensus
2026-02-03,2026-02-04T03:10:00Z,Golden State Warriors,Philadelphia 76ers,-166.00546185626143,166.00546185626135,-4.5,4.5,-105,-115,221.5,100.21672229205498,-100.21672229205494,11,11,10,8,oddsapi_consensus
2026-02-03,2026-02-04T01:10:00Z,Oklahoma City Thunder,Orlando Magic,-382.0108768783656,382.01087687836554,-11.0,11.0,-105,-115,222.5,-101.08932461873637,101.08932461873638,11,11,5,8,oddsapi_consensus
2026-02-03,2026-02-04T01:10:00Z,Dallas Mavericks,Boston Celtics,226.4550391066002,-226.4550391066002,7.0,-7.0,-110,-110,223.0,-100.0,-100.0,11,11,7,6,oddsapi_consensus
