player_name,player_id,team,injury_status,team_on_slate,playing_today
Isobel Borlase,5208983,ATL,,True,True
Jordin Canada,3142250,ATL,,True,True
Allisha Gray,3058901,ATL,,True,True
Naz Hillmon,4398915,ATL,,True,True
Rhyne Howard,4398674,ATL,,True,True
Brionna Jones,3058895,ATL,,True,True
Sika Kone,5017721,ATL,,True,True
Indya Nivar,5105740,ATL,,True,True
Madina Okot,5108587,ATL,,True,True
Te-Hina Paopao,4433431,ATL,,True,True
Angel Reese,4433402,ATL,,True,True
Holly Winterburn,4433690,ATL,,True,True
Rachel Banham,2566186,CHI,,True,True
Kamilla Cardoso,4433405,CHI,,True,True
DiJonai Carrington,4066548,CHI,,True,True
Natasha Cloud,2529137,CHI,,True,True
Aicha Coulibaly,4433433,CHI,,True,True
Skylar Diggins,2491205,CHI,,True,True
Rickea Jackson,4433630,CHI,,True,True
Gabriela Jaquez,4858656,CHI,,True,True
Jacy Sheldon,4432865,CHI,,True,True
Azura Stevens,3142010,CHI,,True,True
Sydney Taylor,4594786,CHI,,True,True
Courtney Vandersloot,981,CHI,,True,True
Maddy Westbeld,4433424,CHI,,True,True
Elizabeth Williams,2566081,CHI,,True,True
Nell Angloma,5345319,CON,,False,False
Raegan Beers,5105732,CON,,False,False
Kennedy Burke,3922628,CON,,False,False
Aaliyah Edwards,4433408,CON,,False,False
Brittney Griner,2490553,CON,,False,False
Ashlon Jackson,5106232,CON,,False,False
Gianna Kneepkens,4898898,CON,,False,False
Leila Lacan,5208981,CON,,False,False
Charlisse Leger-Walker,4703609,CON,,False,False
Diamond Miller,4433635,CON,,False,False
Aneesah Morrow,4684384,CON,,False,False
Olivia Nelson-Ododa,4398966,CON,,False,False
Shey Peddy,1107,CON,,False,False
Saniya Rivers,4433514,CON,,False,False
Hailey Van Lith,4433412,CON,,False,False
Paige Bueckers,4433730,DAL,,True,True
Alysha Clark,924,DAL,,True,True
Dulcy Fankam Mendjiadeu,4594527,DAL,,True,True
Azzi Fudd,4433790,DAL,,True,True
Aziaha James,4433807,DAL,,True,True
Awak Kuier,4790266,DAL,,True,True
Arike Ogunbowale,3904577,DAL,,True,True
JJ Quinerly,4434015,DAL,,True,True
Jessica Shepard,3906949,DAL,,True,True
Maddy Siegrist,4399415,DAL,,True,True
Odyssey Sims,2529047,DAL,,True,True
Alanna Smith,3913881,DAL,,True,True
Costanza Verona,5345473,DAL,,True,True
Li Yueru,4336633,DAL,,True,True
Laeticia Amihere,4432834,GSV,,False,False
Veronica Burton,4398935,GSV,,False,False
Kaila Charles,4065780,GSV,,False,False
Kaitlyn Chen,4899328,GSV,,False,False
Tiffany Hayes,1054,GSV,,False,False
Juste Jocyte,5277552,GSV,,False,False
Ndjakalenga Mwenentanda,5106170,GSV,,False,False
Iliana Rupert,4790263,GSV,,False,False
Janelle Salaun,4790264,GSV,,False,False
Miela Sowah,4398577,GSV,,False,False
Kiah Stokes,2590093,GSV,,False,False
Kayla Thornton,2529622,GSV,,False,False
Gabby Williams,3142328,GSV,,False,False
Cecilia Zandalasini,4257500,GSV,,False,False
Monique Billings,3142255,IND,,True,True
Aliyah Boston,4432831,IND,,True,True
Caitlin Clark,4433403,IND,,True,True
Sophie Cunningham,3907781,IND,,True,True
Damiris Dantas,2955898,IND,,True,True
Tyasha Harris,4065760,IND,,True,True
Myisha Hines-Allen,3142055,IND,,True,True
Lexie Hull,4398829,IND,,True,True
Raven Johnson,4433797,IND,,True,True
Kelsey Mitchell,3142191,IND,,True,True
Justine Pissott,4682855,IND,,True,True
Makayla Timpson,4433546,IND,,True,True
Shatori Walker-Kimbrough,3058893,IND,,True,True
Ariel Atkins,3146151,LAS,,False,False
Cameron Brink,4433404,LAS,,False,False
Rae Burrell,4398764,LAS,,False,False
Emma Cannon,2284331,LAS,,False,False
Sania Feagin,4433795,LAS,,False,False
Chance Gray,5105729,LAS,,False,False
Dearica Hamby,2566106,LAS,,False,False
Ta'Niya Latson,4609797,LAS,,False,False
Nneka Ogwumike,1068,LAS,,False,False
Jihyun Park,4874375,LAS,,False,False
Kelsey Plum,3065570,LAS,,False,False
Erica Wheeler,2491214,LAS,,False,False
Laura Ziegler,5107515,LAS,,False,False
Janiah Barker,4565501,LVA,,True,True
Kierstan Bell,4433633,LVA,,True,True
Chennedy Carter,4280892,LVA,,True,True
Dana Evans,4281190,LVA,,True,True
Chelsea Gray,2529122,LVA,,True,True
Jewell Loyd,2987869,LVA,,True,True
Cheyenne Parker-Tyus,2529458,LVA,,True,True
NaLyssa Smith,4398776,LVA,,True,True
Stephanie Talbot,3099736,LVA,,True,True
Brianna Turner,3142086,LVA,,True,True
