snapshot_ts,event_id,commence_time,bookmaker,bookmaker_title,market,outcome_name,player_name,point,price,last_update,home_team,away_team
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Over,Jessica Shepard,4.5,104,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Under,Jessica Shepard,4.5,-138,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Over,Georgia Amoore,3.5,-168,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Under,Georgia Amoore,3.5,126,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Over,Paige Bueckers,5.5,-122,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_assists,Under,Paige Bueckers,5.5,-108,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Kiki Iriafen,,-125,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Shakira Austin,,125,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Jessica Shepard,,200,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
2026-05-18T14:16:57.656168+00:00,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,fanduel,FanDuel,player_double_double,Yes,Paige Bueckers,,900,2026-05-18T14:15:26Z,Dallas Wings,Washington Mystics
