date,home_team,visitor_team,q3_total,q4_total,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-02-22,Oklahoma City Thunder,Cleveland Cavaliers,58.0,56.5,8.0,-115.0,-115.0,2.5,-110.0,-120.0,,,,,,,,,,,,
2026-02-22,Atlanta Hawks,Brooklyn Nets,56.5,54.5,-3.5,-105.0,-115.0,-2.5,-105.0,-115.0,117.0,59.5,58.0,-5.5,-110.0,-110.0,-3.0,-110.0,-110.0,-3.0,-105.0,-115.0
2026-02-22,Golden State Warriors,Denver Nuggets,,,,,,,,,110.5,56.5,54.5,3.5,-105.0,-115.0,2.0,-105.0,-115.0,2.0,-115.0,-105.0
2026-02-22,Milwaukee Bucks,Toronto Raptors,56.5,54.5,1.5,-135.0,115.0,1.5,-130.0,110.0,107.0,54.5,52.5,2.0,-115.0,-105.0,1.0,-110.0,-110.0,1.0,-110.0,-110.0
2026-02-22,Indiana Pacers,Dallas Mavericks,57.5,56.0,1.5,-130.0,110.0,1.5,-145.0,125.0,120.5,61.0,59.5,1.0,-115.0,-105.0,0.5,-110.0,-110.0,0.5,-110.0,-110.0
2026-02-22,Washington Wizards,Charlotte Hornets,59.5,56.0,3.5,-110.0,-110.0,2.5,-115.0,-105.0,110.0,56.0,54.5,7.0,-115.0,-105.0,3.5,-110.0,-110.0,3.0,-105.0,-115.0
2026-02-22,Los Angeles Lakers,Boston Celtics,56.5,53.5,1.5,-140.0,120.0,1.5,-140.0,120.0,118.0,60.0,58.0,0.5,-105.0,-115.0,0.5,-110.0,-110.0,0.5,-115.0,-105.0
2026-02-22,Minnesota Timberwolves,Philadelphia 76ers,59.5,56.5,-2.5,-110.0,-110.0,-1.5,-115.0,-105.0,123.0,62.0,60.5,-6.0,-105.0,-115.0,-2.5,-115.0,-105.0,-3.0,-105.0,-115.0
2026-02-22,Chicago Bulls,New York Knicks,57.5,54.5,2.5,-105.0,-115.0,2.5,-110.0,-110.0,120.0,60.0,59.5,6.0,-105.0,-115.0,3.0,-110.0,-110.0,3.0,-110.0,-110.0
2026-02-22,Phoenix Suns,Portland Trail Blazers,54.5,52.5,1.5,-125.0,105.0,1.5,-135.0,115.0,114.0,58.0,56.5,2.0,-110.0,-110.0,1.0,-110.0,-110.0,1.0,-110.0,-110.0
2026-02-22,Los Angeles Clippers,Orlando Magic,53.5,51.5,-1.5,120.0,-140.0,-1.5,120.0,-140.0,110.5,56.0,54.5,-1.5,-105.0,-115.0,-0.5,-115.0,-105.0,-0.5,-115.0,-105.0
