date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,pra
2025-10-04,0012500010,1626162,Kelly Oubre Jr.,PHI,13.0,5.0,3.0,2.0,21.0
2025-10-04,0012500010,1631230,Dominick Barlow,PHI,6.0,2.0,0.0,1.0,8.0
2025-10-04,0012500010,1641737,Adem Bona,PHI,2.0,1.0,0.0,0.0,3.0
2025-10-04,0012500010,1642845,Valdez Edgecombe,PHI,10.0,2.0,5.0,1.0,17.0
2025-10-04,0012500010,1630178,Tyrese Maxey,PHI,16.0,2.0,2.0,3.0,20.0
2025-10-04,0012500010,203083,Andre Drummond,PHI,7.0,11.0,1.0,1.0,19.0
2025-10-04,0012500010,1642348,Justin Edwards,PHI,4.0,8.0,2.0,1.0,14.0
2025-10-04,0012500010,1631133,Jabari Walker,PHI,10.0,2.0,2.0,0.0,14.0
2025-10-04,0012500010,1631113,Kennedy Chandler,PHI,15.0,3.0,6.0,0.0,24.0
2025-10-04,0012500010,1641780,Johni Broome,PHI,6.0,4.0,0.0,0.0,10.0
2025-10-04,0012500010,1630792,Malcolm Hill,PHI,15.0,1.0,1.0,3.0,17.0
2025-10-04,0012500010,1628384,OG Anunoby,NYK,13.0,2.0,1.0,3.0,16.0
2025-10-04,0012500010,1626157,Karl-Anthony Towns,NYK,6.0,3.0,1.0,0.0,10.0
2025-10-04,0012500010,1629011,Mitchell Robinson,NYK,6.0,8.0,0.0,0.0,14.0
2025-10-04,0012500010,1628969,Mikal Bridges,NYK,10.0,2.0,1.0,0.0,13.0
2025-10-04,0012500010,1628973,Jalen Brunson,NYK,14.0,1.0,2.0,1.0,17.0
2025-10-04,0012500010,203903,Jordan Clarkson,NYK,7.0,1.0,2.0,1.0,10.0
2025-10-04,0012500010,1630540,Miles McBride,NYK,2.0,3.0,2.0,0.0,7.0
2025-10-04,0012500010,1627824,Guerschon Yabusele,NYK,3.0,2.0,2.0,1.0,7.0
2025-10-04,0012500010,1627763,Malcolm Brogdon,NYK,5.0,4.0,1.0,0.0,10.0
2025-10-04,0012500010,1642359,Pacôme Dadiet,NYK,0.0,1.0,1.0,0.0,2.0
2025-10-04,0012500010,1629013,Landry Shamet,NYK,6.0,0.0,0.0,1.0,6.0
2025-10-04,0012500010,1642278,Tyler Kolek,NYK,2.0,3.0,1.0,0.0,6.0
2025-10-04,0012500010,1629726,Garrison Mathews,NYK,6.0,0.0,1.0,1.0,7.0
2025-10-04,0012500010,1630574,Ariel Hukporti,NYK,5.0,3.0,1.0,0.0,9.0
2025-10-04,0012500010,1642885,Mohamed Diawara,NYK,3.0,2.0,0.0,1.0,5.0
2025-10-04,0012500010,1641755,Kevin McCullar Jr.,NYK,8.0,2.0,1.0,1.0,11.0
2025-10-04,0012500010,1641787,Tosan Evbuomwan,NYK,7.0,2.0,3.0,1.0,12.0
2025-10-04,0012500010,1630346,Matt Ryan,NYK,3.0,1.0,1.0,1.0,5.0
2025-10-04,0012500010,1641998,Trey Jemison III,NYK,7.0,3.0,0.0,0.0,10.0
2025-10-04,0012500011,1630180,Saddiq Bey,NOP,21.0,6.0,3.0,4.0,30.0
2025-10-04,0012500011,1629627,Zion Williamson,NOP,8.0,9.0,3.0,0.0,20.0
2025-10-04,0012500011,1626172,Kevon Looney,NOP,4.0,2.0,1.0,0.0,7.0
2025-10-04,0012500011,1629673,Jordan Poole,NOP,15.0,2.0,4.0,1.0,21.0
2025-10-04,0012500011,1642847,Jeremiah Fears,NOP,12.0,1.0,3.0,1.0,16.0
2025-10-04,0012500011,1642877,Micah Peavy,NOP,8.0,3.0,1.0,2.0,12.0
2025-10-04,0012500011,1642274,Yves Missi,NOP,10.0,6.0,3.0,0.0,19.0
2025-10-04,0012500011,1630631,Jose Alvarado,NOP,0.0,1.0,4.0,0.0,5.0
2025-10-04,0012500011,1641722,Jordan Hawkins,NOP,14.0,0.0,0.0,2.0,14.0
2025-10-04,0012500011,1631255,Karlo Matković,NOP,9.0,4.0,2.0,0.0,15.0
2025-10-04,0012500011,1631121,Bryce McGowens,NOP,1.0,2.0,2.0,0.0,5.0
2025-10-04,0012500011,1641725,Trey Alexander,NOP,7.0,0.0,2.0,0.0,9.0
2025-10-04,0012500011,1629667,Jalen McDaniels,NOP,3.0,2.0,1.0,1.0,6.0
2025-10-04,0012500011,1630531,Jaden Springer,NOP,5.0,4.0,2.0,1.0,11.0
2025-10-04,0012500011,1631365,Garrison Brooks,NOP,0.0,3.0,1.0,0.0,4.0
2025-10-04,0012500011,1643104,Christian Shumate,NOP,6.0,2.0,0.0,0.0,8.0
2025-10-04,0012500011,1630621,Hunter Dickinson,NOP,4.0,3.0,1.0,0.0,8.0
2025-10-04,0012500011,1641831,Malique Lewis,SEM,8.0,5.0,4.0,2.0,17.0
2025-10-04,0012500011,196295492,John Brown III,SEM,6.0,7.0,2.0,0.0,15.0
2025-10-04,0012500011,196295493,Jordan Hunter,SEM,17.0,6.0,2.0,1.0,25.0
2025-10-04,0012500011,196295501,Nathan Sobey,SEM,16.0,0.0,5.0,2.0,21.0
2025-10-04,0012500011,196295502,Owen Foxwell,SEM,6.0,2.0,2.0,0.0,10.0
2025-10-04,0012500011,196295496,Angus Glover,SEM,5.0,2.0,1.0,1.0,8.0
2025-10-04,0012500011,1642104,Hunter Maldonado,SEM,4.0,5.0,2.0,0.0,11.0
2025-10-04,0012500011,196295500,Gorjok Gak,SEM,6.0,4.0,0.0,0.0,10.0
2025-10-04,0012500011,196295497,Akech Allir,SEM,16.0,3.0,2.0,2.0,21.0
2025-10-04,0012500011,196295499,Daniel Foster,SEM,6.0,4.0,2.0,0.0,12.0
