date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,ast,OVER,7.5,390,0.20408163265306123,0.7318147188020021,0.5277330861489409,2.5858921221298106,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,ast,OVER,5.5,215,0.31746031746031744,0.7835054237592037,0.4660451062988863,1.4680420848414917,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,ast,OVER,5.5,110,0.47619047619047616,0.9219499601841723,0.44575948399369614,0.936094916386762,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,ast,OVER,7.5,320,0.23809523809523808,0.628075786426401,0.38998054833116297,1.6379183029908846,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,ast,OVER,7.5,700,0.125,0.49365183850851757,0.36865183850851757,2.9492147080681406,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,ast,OVER,5.5,250,0.2857142857142857,0.626731398803361,0.34101711308907534,1.1935598958117635,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,ast,OVER,7.5,145,0.40816326530612246,0.7463421123711562,0.33817884706503376,0.8285381753093326,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,ast,OVER,9.5,950,0.09523809523809523,0.42791327438864146,0.33267517915054623,3.493089381080735,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,ast,OVER,5.5,330,0.23255813953488372,0.5502524825035292,0.3176943429686455,1.3660856747651753,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,ast,OVER,3.5,-195,0.6610169491525424,0.9434130214778873,0.2823960723253449,0.4272145709537269,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,ast,OVER,3.5,-120,0.5454545454545454,0.8228547621065601,0.27740021665201464,0.5085670638620268,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,ast,OVER,3.5,-155,0.6078431372549019,0.8693255629978872,0.2614824257429853,0.43018076493200796,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,ast,OVER,5.5,-215,0.6825396825396826,0.9282694675774787,0.2457297850377962,0.36002270831118977,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1628378.0,Donovan Mitchell,CLE,ast,OVER,5.5,170,0.37037037037037035,0.5974937499856439,0.2271233796152735,0.6132331249612384,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,ast,OVER,9.5,340,0.22727272727272727,0.44552451743983246,0.2182517901671052,0.9603078767352627,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1629627.0,Zion Williamson,NOP,ast,OVER,7.5,900,0.1,0.31675536612615207,0.21675536612615207,2.167553661261521,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,ast,OVER,9.5,875,0.10256410256410256,0.3180214475925347,0.21545734502843214,2.1007091140272136,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,ast,OVER,3.5,-340,0.7727272727272727,0.9867331717998005,0.21400589907252776,0.2769488105644477,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630595.0,Cade Cunningham,DET,ast,OVER,3.5,-400,0.8,0.9729953081742707,0.17299530817427067,0.2162441352178384,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1627750.0,Jamal Murray,DEN,ast,OVER,5.5,230,0.30303030303030304,0.4703590551745961,0.16732875214429305,0.5521848820761669,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,201939.0,Stephen Curry,GSW,ast,OVER,7.5,1000,0.09090909090909091,0.2502507984742397,0.1593417075651488,1.7527587832166367,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1628378.0,Donovan Mitchell,CLE,ast,OVER,3.5,-230,0.696969696969697,0.8524191376484866,0.15544944067878963,0.22303615401739385,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,1628983.0,Shai Gilgeous-Alexander,OKC,ast,OVER,9.5,1400,0.06666666666666667,0.20727490451260522,0.14060823784593857,2.1091235676890783,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628392.0,Isaiah Hartenstein,OKC,ast,OVER,3.5,200,0.3333333333333333,0.4737504199706477,0.1404170866373144,0.4212512599119431,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1628378.0,Donovan Mitchell,CLE,ast,OVER,7.5,550,0.15384615384615385,0.2900855761807489,0.13623942233459507,0.8855562451748681,bovada,Bovada,2025-10-14T23:00:00+00:00
2025-10-14,203507.0,Giannis Antetokounmpo,MIL,ast,OVER,11.5,2200,0.043478260869565216,0.16312646453913415,0.11964820366956894,2.7519086844000853,bovada,Bovada,2025-10-15T00:00:00+00:00
