date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,4.5,134,0.42735042735042733,0.7188162762531056,0.2914658489026783,0.6820300864322673,fanduel,FanDuel,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,4.5,130,0.43478260869565216,0.7188162762531056,0.28403366755745346,0.653277435382143,bovada,Bovada,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,4.5,125,0.4444444444444444,0.7188162762531056,0.2743718318086612,0.6173366215694877,betmgm,BetMGM,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1629731.0,Dean Wade,CLE,ast,OVER,1.5,145,0.40816326530612246,0.682174971540134,0.2740117062340115,0.6713286802733281,betmgm,BetMGM,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1629655.0,Daniel Gafford,DAL,ast,OVER,1.5,170,0.37037037037037035,0.638162766158126,0.2677923957877556,0.7230394686269401,betmgm,BetMGM,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1629731.0,Dean Wade,CLE,ast,OVER,1.5,135,0.425531914893617,0.682174971540134,0.25664305664651693,0.6031111831193149,fanatics,Fanatics,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1629655.0,Daniel Gafford,DAL,ast,OVER,1.5,155,0.39215686274509803,0.638162766158126,0.24600590341302792,0.6273150537032212,fanatics,Fanatics,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1631323.0,Simone Fontecchio,MIA,ast,OVER,1.5,130,0.43478260869565216,0.6774993304859434,0.2427167217902912,0.5582484601176697,betmgm,BetMGM,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1642843.0,Cooper Flagg,DAL,ast,UNDER,2.5,175,0.36363636363636365,0.5979944260584475,0.2343580624220839,0.6444846716607309,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1631323.0,Simone Fontecchio,MIA,ast,OVER,1.5,125,0.4444444444444444,0.6774993304859434,0.23305488604149893,0.5243734935933726,fanatics,Fanatics,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1641715.0,Cam Whitmore,WAS,ast,OVER,1.5,120,0.45454545454545453,0.6854521291807674,0.23090667463531284,0.5079946841976882,betmgm,BetMGM,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1641824.0,Matas Buzelis,CHI,ast,OVER,1.5,150,0.4,0.6298684982789038,0.22986849827890377,0.5746712456972595,betmgm,BetMGM,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1642843.0,Cooper Flagg,DAL,ast,UNDER,3.5,-105,0.5121951219512195,0.7415590416684299,0.22936391971721037,0.4478057480193155,betmgm,BetMGM,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,3.5,-156,0.609375,0.8362911869289165,0.22691618692891646,0.3723752811141193,draftkings,DraftKings,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,3.5,-156,0.609375,0.8362911869289165,0.22691618692891646,0.3723752811141193,betonlineag,BetOnline.ag,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,ast,OVER,1.5,115,0.46511627906976744,0.6865307057413872,0.22141442667161976,0.4760410173439824,betmgm,BetMGM,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,ast,OVER,1.5,115,0.46511627906976744,0.6865307057413872,0.22141442667161976,0.4760410173439824,fanatics,Fanatics,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1641715.0,Cam Whitmore,WAS,ast,OVER,1.5,115,0.46511627906976744,0.6854521291807674,0.22033585011099993,0.4737220777386498,fanatics,Fanatics,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
2025-11-21,1642273.0,Kyshawn George,WAS,ast,OVER,3.5,-162,0.6183206106870229,0.8362911869289165,0.21797057624189353,0.3525203146628155,betrivers,BetRivers,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
