player,team,plays,ladders,model
Ace Bailey,UTA,[],[],"{'pts': 10.09322336651327, 'reb': 3.757208993264547, 'ast': 0.3909412035938481, 'threes': 1.7301748432112842, 'pra': 15.910112354576738}"
Alijah Martin,TOR,[],[],"{'pts': 12.005979537963867, 'reb': 4.085952281951904, 'ast': 2.3301422595977783, 'threes': 1.0621914863586426, 'pra': 18.581335067749023}"
Amari Williams,BOS,[],[],"{'pts': 11.97958755493164, 'reb': 4.606679439544678, 'ast': 2.20496153831482, 'threes': 1.0328872203826904, 'pra': 18.95049095153809}"
Asa Newell,ATL,[],[],"{'pts': 11.681970596313477, 'reb': 4.537402629852295, 'ast': 2.257795810699463, 'threes': 1.4223663806915283, 'pra': 18.636430740356445}"
Ben Saraf,BKN,[],[],"{'pts': 15.326373100280762, 'reb': 3.4988033771514893, 'ast': 3.524080276489258, 'threes': 1.872130870819092, 'pra': 22.50851821899414}"
Brooks Barnhizer,OKC,[],[],"{'pts': 9.878271102905272, 'reb': 4.608802795410156, 'ast': 1.805359959602356, 'threes': 0.8055495023727417, 'pra': 16.45169448852539}"
Caleb Love,POR,[],[],"{'pts': 10.595810890197754, 'reb': 3.1876165866851807, 'ast': 1.621590256690979, 'threes': 2.2988767623901367, 'pra': 15.56428050994873}"
Carter Bryant,SAS,[],[],"{'pts': 12.908051490783691, 'reb': 4.97119665145874, 'ast': 2.4710617065429688, 'threes': 0.9613280296325684, 'pra': 20.509571075439453}"
Cedric Coward,MEM,[],[],"{'pts': 17.390163987679134, 'reb': 6.478949546813965, 'ast': 3.765822647957875, 'threes': 1.460340916803641, 'pra': 27.37135381014982}"
Chaz Lanier,DET,[],[],"{'pts': 11.358916282653809, 'reb': 3.8999156951904297, 'ast': 2.503631114959717, 'threes': 0.9762464761734008, 'pra': 17.921724319458008}"
Chris Mañon,LAL,[],[],"{'pts': 11.537817001342772, 'reb': 4.366388320922852, 'ast': 2.1527769565582275, 'threes': 1.106391429901123, 'pra': 18.216243743896484}"
Chris Youngblood,OKC,[],[],"{'pts': 9.626520156860352, 'reb': 4.2022624015808105, 'ast': 1.6560496091842651, 'threes': 1.099515080451965, 'pra': 15.644095420837402}"
Chucky Hepburn,TOR,[],[],"{'pts': 13.007284164428713, 'reb': 4.021862983703613, 'ast': 2.677669048309326, 'threes': 1.4405561685562134, 'pra': 19.866077423095703}"
Collin Murray-Boyles,TOR,[],[],"{'pts': 9.905423604525051, 'reb': 6.200894355773926, 'ast': 2.914714097976685, 'threes': 0.1447585032074537, 'pra': 17.780827020046978}"
Cooper Flagg,DAL,[],[],"{'pts': 25.22114814432695, 'reb': 6.932129786399051, 'ast': 3.9135148901688415, 'threes': 2.1843004897041416, 'pra': 35.88841591237543}"
Curtis Jones,DEN,[],[],"{'pts': 12.683056831359863, 'reb': 4.33909797668457, 'ast': 2.263149738311768, 'threes': 1.2348077297210691, 'pra': 19.44456672668457}"
DaRon Holmes II,DEN,[],[],"{'pts': 12.428613662719728, 'reb': 3.823988914489746, 'ast': 2.5465755462646484, 'threes': 1.097111701965332, 'pra': 18.95844078063965}"
David Jones Garcia,SAS,[],[],"{'pts': 16.639219284057617, 'reb': 4.348700046539307, 'ast': 2.9015560150146484, 'threes': 2.313422203063965, 'pra': 24.048736572265625}"
Derik Queen,NOP,[],[],"{'pts': 16.778772538921, 'reb': 8.34003511133176, 'ast': 3.8208989358581023, 'threes': 1.1347347375445151, 'pra': 27.92027818579435}"
Dylan Cardwell,SAC,[],[],"{'pts': 13.048378944396973, 'reb': 5.596499919891357, 'ast': 2.151557207107544, 'threes': 1.375859618186951, 'pra': 20.955698013305664}"
Egor Dëmin,BKN,[],[],"{'pts': 17.560590744018555, 'reb': 3.2412102222442627, 'ast': 2.7268710136413574, 'threes': 3.269238471984864, 'pra': 23.68793487548828}"
