player,team,plays,ladders
Ajay Mitchell,OKC,"[{'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 150.0, 'edge': 0.1034890757377188, 'ev': 0.2587226893442971, 'ev_pct': 25.87226893442971, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': -105.0, 'edge': 0.0922306930729754, 'ev': 0.1800694483805711, 'ev_pct': 18.00694483805711, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': -107.0, 'edge': 0.0875176024638085, 'ev': 0.1693097542991436, 'ev_pct': 16.930975429914362, 'book': 'draftkings'}]",[]
Alex Caruso,OKC,"[{'market': 'pr', 'side': 'OVER', 'line': 9.5, 'price': 105.0, 'edge': 0.2661327550856012, 'ev': 0.5455721479254825, 'ev_pct': 54.55721479254825, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 9.5, 'price': 102.0, 'edge': 0.2588881281838866, 'ev': 0.522954018931451, 'ev_pct': 52.2954018931451, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 8.5, 'price': -135.0, 'edge': 0.2167716120285312, 'ev': 0.37734317649411, 'ev_pct': 37.734317649411, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 8.5, 'price': -135.0, 'edge': 0.2167716120285312, 'ev': 0.37734317649411, 'ev_pct': 37.734317649411, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 11.5, 'price': -103.0, 'edge': 0.2151067020374272, 'ev': 0.4239481603261916, 'ev_pct': 42.39481603261916, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 130.0, 'edge': 0.2666811142633025, 'ev': 0.6133665628055958, 'ev_pct': 61.33665628055957, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 128.0, 'edge': 0.2628672317308845, 'ev': 0.5993372883464166, 'ev_pct': 59.93372883464166, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 128.0, 'edge': 0.2628672317308845, 'ev': 0.5993372883464166, 'ev_pct': 59.93372883464166, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 125.0, 'edge': 0.2570192785145102, 'ev': 0.5782933766576479, 'ev_pct': 57.82933766576479, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 110.0, 'edge': 0.2252732467684784, 'ev': 0.4730738182138048, 'ev_pct': 47.30738182138048, 'book': 'betmgm'}]",[]
Alex Sarr,WAS,"[{'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 124.0, 'edge': 0.1549807234945312, 'ev': 0.34715682062775, 'ev_pct': 34.715682062775, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 110.0, 'edge': 0.1252188187326265, 'ev': 0.2629595193385157, 'ev_pct': 26.29595193385157, 'book': 'betonlineag'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 140.0, 'edge': 0.252713468630123, 'ev': 0.6065123247122953, 'ev_pct': 60.651232471229534, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -108.0, 'edge': 0.2370146420007598, 'ev': 0.4564726438533153, 'ev_pct': 45.64726438533153, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -110.0, 'edge': 0.2324358874220052, 'ev': 0.4437412396238283, 'ev_pct': 44.374123962382825, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -130.0, 'edge': 0.1910280199271813, 'ev': 0.3379726506403977, 'ev_pct': 33.79726506403977, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -130.0, 'edge': 0.1910280199271813, 'ev': 0.3379726506403977, 'ev_pct': 33.79726506403977, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': -109.0, 'edge': 0.1779519359523388, 'ev': 0.3412105927893468, 'ev_pct': 34.12105927893468, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': -111.0, 'edge': 0.1734166857199072, 'ev': 0.3296479341162199, 'ev_pct': 32.96479341162199, 'book': 'draftkings'}]",[]
Andrew Nembhard,IND,"[{'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': 120.0, 'edge': 0.260360677343352, 'ev': 0.5727934901553745, 'ev_pct': 57.27934901553745, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -105.0, 'edge': 0.2440472166556723, 'ev': 0.4764731372801221, 'ev_pct': 47.64731372801221, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 24.5, 'price': -130.0, 'edge': 0.2288903301642672, 'ev': 0.4049598149060112, 'ev_pct': 40.49598149060112, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': 120.0, 'edge': 0.2026526923107264, 'ev': 0.4458359230835981, 'ev_pct': 44.58359230835981, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -105.0, 'edge': 0.1892721464616298, 'ev': 0.3695313335679439, 'ev_pct': 36.95313335679439, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -130.0, 'edge': 0.1777181561563127, 'ev': 0.314424430122707, 'ev_pct': 31.442443012270697, 'book': 'bovada'}]",[]
Anthony Black,ORL,"[{'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -105.0, 'edge': 0.2978452322176333, 'ev': 0.581507358139189, 'ev_pct': 58.1507358139189, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 21.5, 'price': -110.0, 'edge': 0.1671499008294086, 'ev': 0.319104356128871, 'ev_pct': 31.9104356128871, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 20.5, 'price': -135.0, 'edge': 0.1595669939091816, 'ev': 0.2777647671752421, 'ev_pct': 27.77647671752421, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -120.0, 'edge': 0.2790484153439656, 'ev': 0.511588761463937, 'ev_pct': 51.158876146393695, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 22.5, 'price': -115.0, 'edge': 0.2474995591415084, 'ev': 0.4627165670906461, 'ev_pct': 46.271656709064615, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 13.5, 'price': 100.0, 'edge': 0.3391787259736205, 'ev': 0.6783574519472411, 'ev_pct': 67.83574519472411, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 13.5, 'price': -109.0, 'edge': 0.3176476254951517, 'ev': 0.6090674653989605, 'ev_pct': 60.90674653989605, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'OVER', 'line': 13.5, 'price': -115.0, 'edge': 0.304295005043388, 'ev': 0.5688993572550297, 'ev_pct': 56.88993572550297, 'book': 'draftkings'}]",[]
Anthony Edwards,MIN,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': -110.0, 'edge': 0.1484050810695764, 'ev': 0.2833187911328276, 'ev_pct': 28.33187911328276, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 37.5, 'price': -120.0, 'edge': 0.2909983169901664, 'ev': 0.5334969144819718, 'ev_pct': 53.34969144819718, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 32.5, 'price': 115.0, 'edge': 0.1707863566064185, 'ev': 0.3671906667037998, 'ev_pct': 36.71906667037998, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 34.5, 'price': -125.0, 'edge': 0.1703612975778357, 'ev': 0.3066503356401043, 'ev_pct': 30.66503356401043, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 33.5, 'price': -105.0, 'edge': 0.1700617169684442, 'ev': 0.332025256938391, 'ev_pct': 33.2025256938391, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 39.5, 'price': -125.0, 'edge': 0.3004253442485073, 'ev': 0.5407656196473133, 'ev_pct': 54.076561964731326, 'book': 'draftkings'}, {'market': 'pra', 'side': 'UNDER', 'line': 41.5, 'price': -110.0, 'edge': 0.2308625956859967, 'ev': 0.4407376826732666, 'ev_pct': 44.073768267326656, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 34.5, 'price': -110.0, 'edge': 0.3437664423056327, 'ev': 0.6562813898562079, 'ev_pct': 65.6281389856208, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 34.5, 'price': -121.0, 'edge': 0.3200646538979619, 'ev': 0.5845808967888396, 'ev_pct': 58.458089678883965, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'UNDER', 'line': 33.5, 'price': -114.0, 'edge': 0.3041590270537839, 'ev': 0.5709651911360504, 'ev_pct': 57.09651911360504, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 3.5, 'price': 140.0, 'edge': 0.3756723502841885, 'ev': 0.9016136406820524, 'ev_pct': 90.16136406820524, 'book': 'fanduel'}]",[]
Bilal Coulibaly,WAS,"[{'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 113.0, 'edge': 0.0905339947141855, 'ev': 0.1928374087412151, 'ev_pct': 19.28374087412151, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 110.0, 'edge': 0.0838270865988267, 'ev': 0.1760368818575362, 'ev_pct': 17.60368818575362, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': -135.0, 'edge': 0.0835600542410208, 'ev': 0.1454563907158512, 'ev_pct': 14.54563907158512, 'book': 'betmgm'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': -112.0, 'edge': 0.191619632436743, 'ev': 0.3627085899695493, 'ev_pct': 36.27085899695493, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': -118.0, 'edge': 0.1786371155594711, 'ev': 0.3300245016268195, 'ev_pct': 33.00245016268195, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': -122.0, 'edge': 0.1703719696796463, 'ev': 0.3100211251547663, 'ev_pct': 31.002112515476632, 'book': 'williamhill_us'}]",[]
Bobby Portis,MIL,"[{'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': 115.0, 'edge': 0.3009413689105, 'ev': 0.6470239431575749, 'ev_pct': 64.70239431575749, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': -115.0, 'edge': 0.2681247077794978, 'ev': 0.5012766275877567, 'ev_pct': 50.12766275877567, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': -118.0, 'edge': 0.2617240250400056, 'ev': 0.4835240462603491, 'ev_pct': 48.35240462603491, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -150.0, 'edge': 0.2361871043699617, 'ev': 0.3936451739499361, 'ev_pct': 39.36451739499361, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 18.5, 'price': -112.0, 'edge': 0.328848829819412, 'ev': 0.622463856443887, 'ev_pct': 62.2463856443887, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 19.5, 'price': 100.0, 'edge': 0.3273662325779417, 'ev': 0.6547324651558835, 'ev_pct': 65.47324651558834, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 18.5, 'price': -125.0, 'edge': 0.3015951610563092, 'ev': 0.5428712899013567, 'ev_pct': 54.28712899013567, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 18.5, 'price': -127.0, 'edge': 0.2976793509730983, 'ev': 0.5320725407156954, 'ev_pct': 53.207254071569544, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 22.5, 'price': 130.0, 'edge': 0.3464357726716238, 'ev': 0.7968022771447347, 'ev_pct': 79.68022771447347, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 21.5, 'price': 105.0, 'edge': 0.3247702568662944, 'ev': 0.6657790265759037, 'ev_pct': 66.57790265759037, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -111.0, 'edge': 0.314924097290659, 'ev': 0.5986395002552167, 'ev_pct': 59.863950025521675, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -112.0, 'edge': 0.3126885612091067, 'ev': 0.5918747765743806, 'ev_pct': 59.18747765743806, 'book': 'betonlineag'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -115.0, 'edge': 0.306106727071327, 'ev': 0.5722864897420461, 'ev_pct': 57.22864897420461, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -118.0, 'edge': 0.2997060443318348, 'ev': 0.5536942174944066, 'ev_pct': 55.36942174944066, 'book': 'betmgm'}, {'market': 'pra', 'side': 'OVER', 'line': 19.5, 'price': -145.0, 'edge': 0.2745878879516878, 'ev': 0.4639588451597485, 'ev_pct': 46.39588451597485, 'book': 'bovada'}, {'market': 'pts', 'side': 'OVER', 'line': 13.5, 'price': 130.0, 'edge': 0.3519413438539047, 'ev': 0.8094650908639809, 'ev_pct': 80.9465090863981, 'book': 'bovada'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': 108.0, 'edge': 0.3426407960679843, 'ev': 0.7126928558214074, 'ev_pct': 71.26928558214074, 'book': 'betrivers'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': 100.0, 'edge': 0.3234100268372151, 'ev': 0.6468200536744302, 'ev_pct': 64.68200536744303, 'book': 'betonlineag'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': 100.0, 'edge': 0.3234100268372151, 'ev': 0.6468200536744302, 'ev_pct': 64.68200536744303, 'book': 'bovada'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': 100.0, 'edge': 0.3234100268372151, 'ev': 0.6468200536744302, 'ev_pct': 64.68200536744303, 'book': 'betmgm'}, {'market': 'pts', 'side': 'OVER', 'line': 11.5, 'price': -114.0, 'edge': 0.3231201713454875, 'ev': 0.6065589181397747, 'ev_pct': 60.65589181397747, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': -102.0, 'edge': 0.3184595317877101, 'ev': 0.6306747590305631, 'ev_pct': 63.06747590305631, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 12.5, 'price': -104.0, 'edge': 0.3136061052685877, 'ev': 0.6151504372576142, 'ev_pct': 61.51504372576142, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'OVER', 'line': 11.5, 'price': -124.0, 'edge': 0.3022590231478906, 'ev': 0.5460162998800605, 'ev_pct': 54.60162998800605, 'book': 'betrivers'}, {'market': 'pts', 'side': 'OVER', 'line': 11.5, 'price': -130.0, 'edge': 0.2906130604149715, 'ev': 0.514161568426488, 'ev_pct': 51.416156842648796, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 122.0, 'edge': 0.3431899948294577, 'ev': 0.7618817885213961, 'ev_pct': 76.18817885213961, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 120.0, 'edge': 0.3390949907344536, 'ev': 0.7460089796157979, 'ev_pct': 74.60089796157979, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 119.0, 'edge': 0.3370194407136981, 'ev': 0.7380725751629988, 'ev_pct': 73.80725751629988, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 115.0, 'edge': 0.3285241662101407, 'ev': 0.7063269573518025, 'ev_pct': 70.63269573518025, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 114.0, 'edge': 0.3263507256537399, 'ev': 0.6983905528990034, 'ev_pct': 69.83905528990034, 'book': 'williamhill_us'}]",[]
Brandon Ingram,TOR,"[{'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': 120.0, 'edge': 0.2314874266717907, 'ev': 0.5092723386779395, 'ev_pct': 50.92723386779395, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': 100.0, 'edge': 0.229442438189228, 'ev': 0.4588848763784561, 'ev_pct': 45.88848763784561, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -122.0, 'edge': 0.2200773514778574, 'ev': 0.4004686231810194, 'ev_pct': 40.04686231810194, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -123.0, 'edge': 0.2180573943009496, 'ev': 0.3953398286919656, 'ev_pct': 39.533982869196564, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -125.0, 'edge': 0.2140713454718514, 'ev': 0.3853284218493327, 'ev_pct': 38.53284218493327, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': -115.0, 'edge': 0.1945587172589955, 'ev': 0.3637402105276872, 'ev_pct': 36.37402105276872, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': 115.0, 'edge': 0.2004448121271277, 'ev': 0.4309563460733246, 'ev_pct': 43.095634607332464, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': -105.0, 'edge': 0.1971544390149253, 'ev': 0.3849205714100924, 'ev_pct': 38.49205714100924, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -125.0, 'edge': 0.1946962720902861, 'ev': 0.3504532897625152, 'ev_pct': 35.045328976251525, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -126.0, 'edge': 0.1927297037520364, 'ev': 0.3456897860949225, 'ev_pct': 34.56897860949225, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -128.0, 'edge': 0.1888483188739119, 'ev': 0.3363860679941556, 'ev_pct': 33.63860679941556, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': -110.0, 'edge': 0.185540037156621, 'ev': 0.3542127982080947, 'ev_pct': 35.421279820809474, 'book': 'betmgm'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 135.0, 'edge': 0.3487858495241784, 'ev': 0.8196467463818193, 'ev_pct': 81.96467463818193, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 121.0, 'edge': 0.32182907663499, 'ev': 0.7112422593633279, 'ev_pct': 71.12422593633279, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 119.0, 'edge': 0.3176967598515854, 'ev': 0.6957559040749719, 'ev_pct': 69.57559040749719, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 118.0, 'edge': 0.3156021680875202, 'ev': 0.688012726430794, 'ev_pct': 68.8012726430794, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 109.0, 'edge': 0.2958488648962643, 'ev': 0.6183241276331926, 'ev_pct': 61.832412763319255, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 102.0, 'edge': 0.2792682594673004, 'ev': 0.5641218841239468, 'ev_pct': 56.412188412394684, 'book': 'betrivers'}]",[]
C.J. McCollum,WAS,"[{'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': 125.0, 'edge': 0.191831810092266, 'ev': 0.4316215727075985, 'ev_pct': 43.16215727075985, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -119.0, 'edge': 0.1828692132443032, 'ev': 0.3365408210126254, 'ev_pct': 33.65408210126254, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': 100.0, 'edge': 0.182611518244, 'ev': 0.365223036488, 'ev_pct': 36.5223036488, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -125.0, 'edge': 0.1706926531225376, 'ev': 0.3072467756205679, 'ev_pct': 30.72467756205679, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -125.0, 'edge': 0.1706926531225376, 'ev': 0.3072467756205679, 'ev_pct': 30.72467756205679, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -106.0, 'edge': 0.1680484114478835, 'ev': 0.3265846486628679, 'ev_pct': 32.65846486628679, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': 100.0, 'edge': 0.4331698602439414, 'ev': 0.8663397204878829, 'ev_pct': 86.6339720487883, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': 100.0, 'edge': 0.4331698602439414, 'ev': 0.8663397204878829, 'ev_pct': 86.6339720487883, 'book': 'betrivers'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -101.0, 'edge': 0.4306822980548866, 'ev': 0.8571004149409132, 'ev_pct': 85.71004149409131, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -103.0, 'edge': 0.425780697682365, 'ev': 0.8391600158205836, 'ev_pct': 83.91600158205836, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -104.0, 'edge': 0.423365938675314, 'ev': 0.8304485720169621, 'ev_pct': 83.0448572016962, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -105.0, 'edge': 0.4209747382927219, 'ev': 0.8219030604762666, 'ev_pct': 82.19030604762666, 'book': 'betmgm'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -106.0, 'edge': 0.4186067534478249, 'ev': 0.8135187850023767, 'ev_pct': 81.35187850023767, 'book': 'fanduel'}]",[]
