player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
A.J. Lawson,TOR,[],[],"{'pts': 10.545106887817385, 'reb': 4.185414791107178, 'ast': 2.1473464965820312, 'threes': 0.7426289916038513, 'pra': 16.877868175506592}",[],,,,[],0.0,0.0
AJ Green,MIL,[],[],"{'pts': 8.971150741891034, 'reb': 1.8541135787963867, 'ast': 0.9271178190368082, 'threes': 2.7647963587871107, 'pra': 11.75238213972423}",[],,,,[],0.0,0.0
Aaron Wiggins,OKC,[],[],"{'pts': 8.215015916791343, 'reb': 4.052964210510254, 'ast': 1.2906250124646903, 'threes': 0.6986574831315512, 'pra': 13.558605139766287}",[],,,,[],0.0,0.0
Al Horford,GSW,[],[],"{'pts': 10.1962890625, 'reb': 4.78863000869751, 'ast': 2.555240631103516, 'threes': 0.9006900191307068, 'pra': 17.540159702301025}",[],,,,[],0.0,0.0
Alex Caruso,OKC,[],[],"{'pts': 8.594364166259766, 'reb': 3.22505784034729, 'ast': 1.4873839616775513, 'threes': 1.4622981548309326, 'pra': 13.306805968284609}",[],,,,[],0.0,0.0
Alijah Martin,TOR,[],[],"{'pts': 10.703734397888184, 'reb': 4.126901626586914, 'ast': 2.2471790313720703, 'threes': 0.8052858710289001, 'pra': 17.077815055847168}",[],,,,[],0.0,0.0
Alperen Sengun,HOU,[],[],"{'pts': 12.883941539663187, 'reb': 7.63270092010498, 'ast': 5.102627437515501, 'threes': 0.4133021478295913, 'pra': 25.619269897283672}",[],,,,[],0.0,0.0
Amari Williams,BOS,[],[],"{'pts': 9.578176498413086, 'reb': 5.174980640411377, 'ast': 1.9477351903915403, 'threes': 0.5781978964805603, 'pra': 16.700892329216003}",[],,,,[],0.0,0.0
Andre Jackson Jr.,MIL,[],[],"{'pts': 9.098543167114258, 'reb': 4.362785339355469, 'ast': 2.360391616821289, 'threes': 0.5818455815315247, 'pra': 15.821720123291016}",[],,,,[],0.0,0.0
Ausar Thompson,DET,[],[],"{'pts': 10.749164581298828, 'reb': 5.66423225402832, 'ast': 2.409149646759033, 'threes': 0.7513498876776015, 'pra': 18.82254648208618}",[],,,,[],0.0,0.0
