date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-11-05,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI,132,121,,,11,253,,
2025-11-05,Detroit Pistons,Utah Jazz,DET,UTA,114,103,,,11,217,,
2025-11-05,Indiana Pacers,Brooklyn Nets,IND,BKN,103,112,,,-9,215,,
2025-11-05,Boston Celtics,Washington Wizards,BOS,WAS,136,107,,,29,243,,
2025-11-05,New York Knicks,Minnesota Timberwolves,NYK,MIN,137,114,,,23,251,,
2025-11-05,Memphis Grizzlies,Houston Rockets,MEM,HOU,109,124,,,-15,233,,
2025-11-05,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,99,101,,,-2,200,,
2025-11-05,Denver Nuggets,Miami Heat,DEN,MIA,122,112,,,10,234,,
2025-11-05,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,118,116,,,2,234,,
2025-11-05,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,121,119,,,2,240,,
2025-11-05,Sacramento Kings,Golden State Warriors,SAC,GSW,121,116,,,5,237,,
