date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,pra
2025-12-27,0022500432,201942,DeMar DeRozan,SAC,9.0,4.0,6.0,0.0,19.0
2025-12-27,0022500432,1630173,Precious Achiuwa,SAC,5.0,9.0,2.0,0.0,16.0
2025-12-27,0022500432,1642875,Maxime Raynaud,SAC,19.0,6.0,2.0,1.0,27.0
2025-12-27,0022500432,1631165,Keon Ellis,SAC,21.0,1.0,0.0,5.0,22.0
2025-12-27,0022500432,201566,Russell Westbrook,SAC,21.0,5.0,9.0,5.0,35.0
2025-12-27,0022500432,1642363,Nique Clifford,SAC,8.0,9.0,1.0,1.0,18.0
2025-12-27,0022500432,203471,Dennis Schröder,SAC,10.0,2.0,5.0,1.0,17.0
2025-12-27,0022500432,1642928,Dylan Cardwell,SAC,4.0,8.0,3.0,0.0,15.0
2025-12-27,0022500432,1628370,Malik Monk,SAC,7.0,3.0,3.0,1.0,13.0
2025-12-27,0022500432,203926,Doug McDermott,SAC,9.0,3.0,1.0,3.0,13.0
2025-12-27,0022500432,1642843,Cooper Flagg,DAL,23.0,6.0,5.0,3.0,34.0
2025-12-27,0022500432,1629023,P.J. Washington,DAL,17.0,5.0,1.0,0.0,23.0
2025-12-27,0022500432,1629655,Daniel Gafford,DAL,11.0,7.0,1.0,0.0,19.0
2025-12-27,0022500432,1631108,Max Christie,DAL,9.0,7.0,5.0,2.0,21.0
2025-12-27,0022500432,1642948,Ryan Nembhard,DAL,9.0,2.0,3.0,1.0,14.0
2025-12-27,0022500432,1630230,Naji Marshall,DAL,11.0,2.0,1.0,1.0,14.0
2025-12-27,0022500432,1626156,D'Angelo Russell,DAL,7.0,0.0,4.0,1.0,11.0
2025-12-27,0022500432,1630619,Moussa Cisse,DAL,0.0,2.0,0.0,0.0,2.0
2025-12-27,0022500432,202691,Klay Thompson,DAL,14.0,5.0,0.0,4.0,19.0
2025-12-27,0022500432,1628997,Caleb Martin,DAL,0.0,1.0,1.0,0.0,2.0
2025-12-27,0022500432,203939,Dwight Powell,DAL,1.0,11.0,0.0,0.0,12.0
2025-12-27,0022500432,1630702,Jaden Hardy,DAL,5.0,3.0,2.0,1.0,10.0
2025-12-27,0022500433,1630217,Desmond Bane,ORL,24.0,1.0,6.0,0.0,31.0
2025-12-27,0022500433,1631094,Paolo Banchero,ORL,12.0,6.0,6.0,0.0,24.0
2025-12-27,0022500433,1628976,Wendell Carter Jr.,ORL,18.0,7.0,4.0,1.0,29.0
2025-12-27,0022500433,1641710,Anthony Black,ORL,38.0,6.0,5.0,7.0,49.0
2025-12-27,0022500433,1626145,Tyus Jones,ORL,0.0,1.0,6.0,0.0,7.0
2025-12-27,0022500433,1641783,Tristan da Silva,ORL,17.0,5.0,0.0,2.0,22.0
2025-12-27,0022500433,1642859,Jase Richardson,ORL,4.0,3.0,1.0,0.0,8.0
2025-12-27,0022500433,1642869,Noah Penda,ORL,2.0,4.0,2.0,0.0,8.0
2025-12-27,0022500433,1628371,Jonathan Isaac,ORL,5.0,1.0,2.0,0.0,8.0
2025-12-27,0022500433,1631288,Jamal Cain,ORL,7.0,1.0,0.0,0.0,8.0
2025-12-27,0022500433,1642461,Spencer Jones,DEN,14.0,6.0,3.0,3.0,23.0
2025-12-27,0022500433,1631212,Peyton Watson,DEN,15.0,5.0,0.0,1.0,20.0
2025-12-27,0022500433,203999,Nikola Jokić,DEN,34.0,21.0,12.0,0.0,67.0
2025-12-27,0022500433,203501,Tim Hardaway Jr.,DEN,20.0,4.0,2.0,4.0,26.0
2025-12-27,0022500433,1627750,Jamal Murray,DEN,24.0,5.0,3.0,2.0,32.0
2025-12-27,0022500433,1628971,Bruce Brown,DEN,2.0,3.0,4.0,0.0,9.0
2025-12-27,0022500433,1631124,Julian Strawther,DEN,13.0,0.0,1.0,1.0,14.0
2025-12-27,0022500433,1629618,Jalen Pickett,DEN,0.0,1.0,1.0,0.0,2.0
2025-12-27,0022500433,202685,Jonas Valančiūnas,DEN,4.0,4.0,1.0,0.0,9.0
2025-12-27,0022500434,1630530,Trey Murphy III,NOP,24.0,6.0,1.0,6.0,31.0
2025-12-27,0022500434,1630180,Saddiq Bey,NOP,17.0,5.0,2.0,0.0,24.0
2025-12-27,0022500434,1642852,Derik Queen,NOP,21.0,11.0,3.0,2.0,35.0
2025-12-27,0022500434,1631121,Bryce McGowens,NOP,0.0,0.0,1.0,0.0,1.0
2025-12-27,0022500434,1642847,Jeremiah Fears,NOP,18.0,8.0,2.0,0.0,28.0
2025-12-27,0022500434,1630631,Jose Alvarado,NOP,7.0,0.0,3.0,1.0,10.0
2025-12-27,0022500434,1629627,Zion Williamson,NOP,22.0,4.0,0.0,0.0,26.0
2025-12-27,0022500434,1629673,Jordan Poole,NOP,1.0,1.0,3.0,0.0,5.0
2025-12-27,0022500434,1642274,Yves Missi,NOP,4.0,8.0,1.0,0.0,13.0
2025-12-27,0022500434,1628415,Dillon Brooks,PHX,18.0,4.0,1.0,2.0,23.0
2025-12-27,0022500434,1626220,Royce O'Neale,PHX,15.0,5.0,2.0,5.0,22.0
2025-12-27,0022500434,1642345,Oso Ighodaro,PHX,8.0,10.0,4.0,0.0,22.0
2025-12-27,0022500434,1626164,Devin Booker,PHX,20.0,3.0,4.0,3.0,27.0
2025-12-27,0022500434,1631221,Collin Gillespie,PHX,17.0,7.0,7.0,5.0,31.0
2025-12-27,0022500434,1630692,Jordan Goodwin,PHX,16.0,9.0,4.0,2.0,29.0
2025-12-27,0022500434,1631109,Mark Williams,PHX,10.0,8.0,0.0,0.0,18.0
2025-12-27,0022500434,1630587,Isaiah Livers,PHX,0.0,3.0,3.0,0.0,6.0
2025-12-27,0022500434,1642853,Rasheer Fleming,PHX,5.0,0.0,1.0,1.0,6.0
2025-12-27,0022500434,1631123,Jamaree Bouyea,PHX,12.0,3.0,0.0,2.0,15.0
2025-12-27,0022500434,1630208,Nick Richards,PHX,2.0,3.0,0.0,0.0,5.0
2025-12-27,0022500435,1642258,Zaccharie Risacher,ATL,4.0,4.0,0.0,0.0,8.0
2025-12-27,0022500435,1630552,Jalen Johnson,ATL,20.0,9.0,12.0,1.0,41.0
2025-12-27,0022500435,1630168,Onyeka Okongwu,ATL,31.0,14.0,1.0,6.0,46.0
2025-12-27,0022500435,1630700,Dyson Daniels,ATL,13.0,8.0,9.0,0.0,30.0
2025-12-27,0022500435,1629027,Trae Young,ATL,9.0,0.0,10.0,0.0,19.0
2025-12-27,0022500435,1629638,Nickeil Alexander-Walker,ATL,25.0,0.0,1.0,5.0,26.0
2025-12-27,0022500435,1642854,Asa Newell,ATL,12.0,2.0,0.0,2.0,14.0
2025-12-27,0022500435,1630249,Vít Krejčí,ATL,9.0,0.0,0.0,3.0,9.0
2025-12-27,0022500435,1628379,Luke Kennard,ATL,2.0,0.0,0.0,0.0,2.0
2025-12-27,0022500435,1628384,OG Anunoby,NYK,15.0,10.0,5.0,2.0,30.0
2025-12-27,0022500435,1642885,Mohamed Diawara,NYK,5.0,5.0,2.0,1.0,12.0
2025-12-27,0022500435,1626157,Karl-Anthony Towns,NYK,36.0,15.0,1.0,3.0,52.0
2025-12-27,0022500435,1628969,Mikal Bridges,NYK,14.0,3.0,8.0,2.0,25.0
2025-12-27,0022500435,1628973,Jalen Brunson,NYK,34.0,3.0,5.0,4.0,42.0
2025-12-27,0022500435,1641755,Kevin McCullar Jr.,NYK,13.0,8.0,2.0,3.0,23.0
2025-12-27,0022500435,203903,Jordan Clarkson,NYK,3.0,2.0,1.0,0.0,6.0
2025-12-27,0022500435,1629011,Mitchell Robinson,NYK,6.0,9.0,1.0,0.0,16.0
2025-12-27,0022500435,1642278,Tyler Kolek,NYK,2.0,0.0,2.0,0.0,4.0
2025-12-27,0022500436,1641796,Pelle Larsson,MIA,16.0,4.0,7.0,1.0,27.0
2025-12-27,0022500436,203952,Andrew Wiggins,MIA,28.0,6.0,3.0,4.0,37.0
2025-12-27,0022500436,1642276,Kel'el Ware,MIA,15.0,7.0,0.0,1.0,22.0
2025-12-27,0022500436,1626181,Norman Powell,MIA,23.0,5.0,2.0,1.0,30.0
2025-12-27,0022500436,1630558,Davion Mitchell,MIA,0.0,2.0,5.0,0.0,7.0
2025-12-27,0022500436,1631170,Jaime Jaquez Jr.,MIA,28.0,6.0,3.0,1.0,37.0
2025-12-27,0022500436,1642857,Kasparas Jakučionis,MIA,4.0,3.0,2.0,0.0,9.0
2025-12-27,0022500436,1630696,Dru Smith,MIA,5.0,5.0,3.0,1.0,13.0
2025-12-27,0022500436,1631107,Nikola Jović,MIA,19.0,7.0,7.0,3.0,33.0
2025-12-27,0022500436,1631323,Simone Fontecchio,MIA,2.0,2.0,1.0,0.0,5.0
2025-12-27,0022500436,1642352,Keshad Johnson,MIA,2.0,1.0,0.0,0.0,3.0
2025-12-27,0022500436,1642066,Myron Gardner,MIA,0.0,1.0,0.0,0.0,1.0
2025-12-27,0022500436,1642277,Johnny Furphy,IND,9.0,7.0,1.0,0.0,17.0
2025-12-27,0022500436,1627783,Pascal Siakam,IND,33.0,7.0,5.0,4.0,45.0
2025-12-27,0022500436,1630643,Jay Huff,IND,11.0,1.0,2.0,1.0,14.0
2025-12-27,0022500436,1631097,Bennedict Mathurin,IND,25.0,6.0,0.0,3.0,31.0
2025-12-27,0022500436,1629614,Andrew Nembhard,IND,15.0,3.0,16.0,1.0,34.0
2025-12-27,0022500436,1641716,Jarace Walker,IND,3.0,3.0,1.0,0.0,7.0
2025-12-27,0022500436,1630174,Aaron Nesmith,IND,9.0,5.0,1.0,3.0,15.0
2025-12-27,0022500436,1628396,Tony Bradley,IND,3.0,4.0,0.0,0.0,7.0
2025-12-27,0022500436,1631245,Quenton Jackson,IND,4.0,0.0,3.0,0.0,7.0
2025-12-27,0022500436,1630679,Ethan Thompson,IND,0.0,3.0,0.0,0.0,3.0
2025-12-27,0022500436,1630695,Micah Potter,IND,2.0,4.0,1.0,0.0,7.0
2025-12-27,0022500436,1643007,Taelon Peter,IND,0.0,1.0,0.0,0.0,1.0
2025-12-27,0022500436,1642880,Kam Jones,IND,2.0,1.0,0.0,0.0,3.0
2025-12-27,0022500437,1630171,Isaac Okoro,CHI,10.0,4.0,2.0,1.0,16.0
2025-12-27,0022500437,1641824,Matas Buzelis,CHI,8.0,3.0,2.0,1.0,13.0
2025-12-27,0022500437,202696,Nikola Vučević,CHI,16.0,7.0,1.0,2.0,24.0
2025-12-27,0022500437,1629632,Coby White,CHI,16.0,2.0,1.0,4.0,19.0
2025-12-27,0022500437,1630581,Josh Giddey,CHI,13.0,7.0,9.0,1.0,29.0
2025-12-27,0022500437,1628380,Zach Collins,CHI,10.0,10.0,2.0,0.0,22.0
2025-12-27,0022500437,1628989,Kevin Huerter,CHI,7.0,6.0,4.0,1.0,17.0
2025-12-27,0022500437,1630245,Ayo Dosunmu,CHI,11.0,2.0,0.0,0.0,13.0
2025-12-27,0022500437,1630188,Jalen Smith,CHI,6.0,10.0,1.0,2.0,17.0
2025-12-27,0022500437,1630200,Tre Jones,CHI,6.0,1.0,6.0,1.0,13.0
2025-12-27,0022500437,1631260,AJ Green,MIL,6.0,2.0,1.0,2.0,9.0
2025-12-27,0022500437,203507,Giannis Antetokounmpo,MIL,29.0,8.0,1.0,1.0,38.0
2025-12-27,0022500437,1626167,Myles Turner,MIL,13.0,5.0,1.0,2.0,19.0
2025-12-27,0022500437,1629645,Kevin Porter Jr.,MIL,8.0,6.0,9.0,0.0,23.0
2025-12-27,0022500437,1631157,Ryan Rollins,MIL,20.0,7.0,5.0,5.0,32.0
2025-12-27,0022500437,203914,Gary Harris,MIL,3.0,0.0,0.0,1.0,3.0
2025-12-27,0022500437,1628398,Kyle Kuzma,MIL,12.0,2.0,4.0,0.0,18.0
2025-12-27,0022500437,1626171,Bobby Portis,MIL,17.0,11.0,1.0,2.0,29.0
2025-12-27,0022500437,1630579,Jericho Sims,MIL,4.0,6.0,0.0,0.0,10.0
2025-12-27,0022500438,201142,Kevin Durant,HOU,30.0,4.0,7.0,2.0,41.0
2025-12-27,0022500438,1631095,Jabari Smith Jr.,HOU,15.0,7.0,2.0,3.0,24.0
2025-12-27,0022500438,203500,Steven Adams,HOU,9.0,8.0,1.0,0.0,18.0
2025-12-27,0022500438,1631106,Tari Eason,HOU,9.0,6.0,0.0,2.0,15.0
2025-12-27,0022500438,1641708,Amen Thompson,HOU,13.0,9.0,4.0,1.0,26.0
2025-12-27,0022500438,1642263,Reed Sheppard,HOU,18.0,3.0,8.0,4.0,29.0
2025-12-27,0022500438,1627827,Dorian Finney-Smith,HOU,3.0,3.0,2.0,1.0,8.0
2025-12-27,0022500438,203991,Clint Capela,HOU,4.0,8.0,0.0,0.0,12.0
2025-12-27,0022500438,1628988,Aaron Holiday,HOU,2.0,1.0,1.0,0.0,4.0
2025-12-27,0022500438,1629006,Josh Okogie,HOU,8.0,0.0,0.0,2.0,8.0
2025-12-27,0022500438,1630256,Jae'Sean Tate,HOU,0.0,1.0,0.0,0.0,1.0
2025-12-27,0022500438,1631120,JD Davison,HOU,3.0,1.0,1.0,0.0,5.0
2025-12-27,0022500438,201145,Jeff Green,HOU,3.0,0.0,1.0,1.0,4.0
2025-12-27,0022500438,1630241,Sam Merrill,CLE,13.0,3.0,3.0,3.0,19.0
2025-12-27,0022500438,1629731,Dean Wade,CLE,6.0,3.0,1.0,2.0,10.0
2025-12-27,0022500438,1628386,Jarrett Allen,CLE,6.0,4.0,2.0,0.0,12.0
2025-12-27,0022500438,1629636,Darius Garland,CLE,12.0,0.0,1.0,2.0,13.0
2025-12-27,0022500438,1628378,Donovan Mitchell,CLE,16.0,3.0,6.0,2.0,25.0
2025-12-27,0022500438,1629631,De'Andre Hunter,CLE,2.0,1.0,2.0,0.0,5.0
2025-12-27,0022500438,1628366,Lonzo Ball,CLE,2.0,1.0,0.0,0.0,3.0
2025-12-27,0022500438,1630596,Evan Mobley,CLE,4.0,4.0,2.0,0.0,10.0
2025-12-27,0022500438,1642281,Jaylon Tyson,CLE,23.0,15.0,0.0,1.0,38.0
2025-12-27,0022500438,1641854,Craig Porter Jr.,CLE,2.0,1.0,3.0,0.0,6.0
2025-12-27,0022500438,1628418,Thomas Bryant,CLE,7.0,7.0,2.0,0.0,16.0
2025-12-27,0022500438,1642878,Tyrese Proctor,CLE,7.0,0.0,1.0,1.0,8.0
2025-12-27,0022500439,1630183,Jaden McDaniels,MIN,16.0,3.0,4.0,1.0,23.0
2025-12-27,0022500439,203944,Julius Randle,MIN,13.0,3.0,11.0,1.0,27.0
2025-12-27,0022500439,203497,Rudy Gobert,MIN,6.0,8.0,0.0,0.0,14.0
2025-12-27,0022500439,1630162,Anthony Edwards,MIN,28.0,7.0,2.0,2.0,37.0
2025-12-27,0022500439,1628978,Donte DiVincenzo,MIN,11.0,5.0,6.0,3.0,22.0
2025-12-27,0022500439,1630538,Bones Hyland,MIN,4.0,1.0,2.0,1.0,7.0
2025-12-27,0022500439,1629675,Naz Reid,MIN,13.0,4.0,1.0,3.0,18.0
2025-12-27,0022500439,1641740,Jaylen Clark,MIN,6.0,2.0,0.0,0.0,8.0
2025-12-27,0022500439,1642265,Rob Dillingham,MIN,7.0,1.0,1.0,1.0,9.0
2025-12-27,0022500439,1630548,Johnny Juzang,MIN,3.0,0.0,0.0,1.0,3.0
2025-12-27,0022500439,1629008,Michael Porter Jr.,BKN,27.0,10.0,4.0,4.0,41.0
2025-12-27,0022500439,1641730,Noah Clowney,BKN,11.0,5.0,3.0,1.0,19.0
2025-12-27,0022500439,1629651,Nic Claxton,BKN,14.0,6.0,3.0,0.0,23.0
2025-12-27,0022500439,1629611,Terance Mann,BKN,2.0,4.0,4.0,0.0,10.0
2025-12-27,0022500439,1642856,Egor Dëmin,BKN,7.0,2.0,3.0,1.0,12.0
2025-12-27,0022500439,1630560,Cam Thomas,BKN,30.0,3.0,4.0,3.0,37.0
2025-12-27,0022500439,1642849,Nolan Traore,BKN,4.0,1.0,4.0,0.0,9.0
2025-12-27,0022500439,1642874,Danny Wolf,BKN,11.0,3.0,1.0,1.0,15.0
2025-12-27,0022500439,1630549,Day'Ron Sharpe,BKN,10.0,4.0,4.0,0.0,18.0
2025-12-27,0022500439,1642962,Drake Powell,BKN,7.0,1.0,2.0,1.0,10.0
2025-12-27,0022500440,1630577,Julian Champagnie,SAS,4.0,5.0,0.0,0.0,9.0
2025-12-27,0022500440,203084,Harrison Barnes,SAS,3.0,2.0,2.0,1.0,7.0
2025-12-27,0022500440,1641705,Victor Wembanyama,SAS,32.0,7.0,3.0,0.0,42.0
2025-12-27,0022500440,1630170,Devin Vassell,SAS,11.0,3.0,3.0,2.0,17.0
2025-12-27,0022500440,1642264,Stephon Castle,SAS,20.0,2.0,7.0,1.0,29.0
2025-12-27,0022500440,1629640,Keldon Johnson,SAS,27.0,10.0,1.0,5.0,38.0
2025-12-27,0022500440,1628436,Luke Kornet,SAS,7.0,8.0,1.0,0.0,16.0
2025-12-27,0022500440,1642844,Dylan Harper,SAS,7.0,7.0,12.0,0.0,26.0
2025-12-27,0022500440,1642868,Carter Bryant,SAS,3.0,2.0,0.0,1.0,5.0
2025-12-27,0022500440,1631110,Jeremy Sochan,SAS,0.0,0.0,1.0,0.0,1.0
2025-12-27,0022500440,1629004,Svi Mykhailiuk,UTA,3.0,1.0,1.0,1.0,5.0
2025-12-27,0022500440,1628374,Lauri Markkanen,UTA,29.0,5.0,1.0,5.0,35.0
2025-12-27,0022500440,203994,Jusuf Nurkić,UTA,16.0,7.0,6.0,2.0,29.0
2025-12-27,0022500440,1641729,Brice Sensabaugh,UTA,11.0,4.0,3.0,3.0,18.0
2025-12-27,0022500440,1641718,Keyonte George,UTA,28.0,5.0,6.0,3.0,39.0
2025-12-27,0022500440,1642268,Isaiah Collier,UTA,7.0,1.0,4.0,1.0,12.0
2025-12-27,0022500440,1642271,Kyle Filipowski,UTA,6.0,3.0,6.0,0.0,15.0
2025-12-27,0022500440,1641707,Taylor Hendricks,UTA,2.0,3.0,1.0,0.0,6.0
2025-12-27,0022500440,1642262,Cody Williams,UTA,8.0,6.0,1.0,0.0,15.0
2025-12-27,0022500440,1642383,Walter Clayton Jr.,UTA,17.0,2.0,5.0,2.0,24.0
