date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,stl,blk,tov,pra
2026-03-20,0022501016,1630533,Ziaire Williams,BKN,17.0,4.0,1.0,2.0,1.0,0.0,0.0,22.0
2026-03-20,0022501016,1642874,Danny Wolf,BKN,8.0,6.0,2.0,2.0,1.0,0.0,1.0,16.0
2026-03-20,0022501016,1629651,Nic Claxton,BKN,8.0,7.0,0.0,0.0,0.0,0.0,2.0,15.0
2026-03-20,0022501016,1642962,Drake Powell,BKN,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0
2026-03-20,0022501016,1642849,Nolan Traore,BKN,11.0,2.0,7.0,1.0,1.0,2.0,4.0,20.0
2026-03-20,0022501016,1630534,Ochai Agbaji,BKN,8.0,4.0,1.0,2.0,0.0,0.0,0.0,13.0
2026-03-20,0022501016,1643052,Chaney Johnson,BKN,4.0,4.0,6.0,0.0,3.0,2.0,1.0,14.0
2026-03-20,0022501016,1642879,Ben Saraf,BKN,5.0,3.0,3.0,0.0,1.0,0.0,4.0,11.0
2026-03-20,0022501016,1631169,Josh Minott,BKN,22.0,5.0,2.0,6.0,1.0,2.0,3.0,29.0
2026-03-20,0022501016,1641869,Malachi Smith,BKN,7.0,2.0,4.0,1.0,0.0,0.0,0.0,13.0
2026-03-20,0022501016,1628969,Mikal Bridges,NYK,9.0,7.0,2.0,1.0,0.0,0.0,1.0,18.0
2026-03-20,0022501016,1628384,OG Anunoby,NYK,16.0,3.0,1.0,1.0,2.0,1.0,4.0,20.0
2026-03-20,0022501016,1626157,Karl-Anthony Towns,NYK,26.0,15.0,1.0,1.0,1.0,0.0,4.0,42.0
2026-03-20,0022501016,1629013,Landry Shamet,NYK,3.0,3.0,1.0,1.0,2.0,1.0,0.0,7.0
2026-03-20,0022501016,1628973,Jalen Brunson,NYK,17.0,5.0,8.0,1.0,2.0,0.0,3.0,30.0
2026-03-20,0022501016,203903,Jordan Clarkson,NYK,9.0,1.0,2.0,1.0,1.0,0.0,0.0,12.0
2026-03-20,0022501016,1629011,Mitchell Robinson,NYK,3.0,10.0,0.0,0.0,1.0,3.0,2.0,13.0
2026-03-20,0022501016,1642885,Mohamed Diawara,NYK,8.0,7.0,5.0,2.0,0.0,0.0,1.0,20.0
2026-03-20,0022501016,1630631,Jose Alvarado,NYK,2.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0
2026-03-20,0022501017,1641709,Ausar Thompson,DET,8.0,3.0,4.0,0.0,7.0,1.0,5.0,15.0
2026-03-20,0022501017,202699,Tobias Harris,DET,13.0,6.0,5.0,1.0,1.0,0.0,1.0,24.0
2026-03-20,0022501017,1631105,Jalen Duren,DET,23.0,6.0,1.0,0.0,1.0,0.0,2.0,30.0
2026-03-20,0022501017,1629130,Duncan Robinson,DET,11.0,1.0,2.0,2.0,2.0,0.0,0.0,14.0
2026-03-20,0022501017,1642450,Daniss Jenkins,DET,22.0,7.0,8.0,1.0,1.0,0.0,3.0,37.0
2026-03-20,0022501017,1630194,Paul Reed,DET,15.0,6.0,3.0,0.0,2.0,1.0,0.0,24.0
2026-03-20,0022501017,1627747,Caris LeVert,DET,5.0,2.0,5.0,0.0,1.0,1.0,1.0,12.0
2026-03-20,0022501017,1641842,Ronald Holland II,DET,11.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0
2026-03-20,0022501017,1629750,Javonte Green,DET,5.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0
2026-03-20,0022501017,1642449,Tolu Smith,DET,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2026-03-20,0022501017,1630611,Gui Santos,GSW,13.0,5.0,5.0,1.0,0.0,0.0,3.0,23.0
