date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,n,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90,pra_p10,pra_p50,pra_p90
2026-05-14,,DAL,MIN,home,DAL,2000,4433730,Paige Bueckers,scenario,close,515,11.0,18.0,26.0,2.0,5.0,8.0,2.0,4.0,7.0,0.0,2.0,4.0,19.0,27.0,36.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433730,Paige Bueckers,scenario,medium,555,11.0,18.0,27.0,2.0,5.0,8.0,2.0,4.0,7.0,0.0,2.0,4.0,20.0,28.0,37.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433730,Paige Bueckers,scenario,blowout,930,12.0,19.0,28.0,2.0,5.0,8.0,2.0,4.0,7.0,0.0,2.0,4.0,20.0,29.0,38.0
2026-05-14,,DAL,MIN,home,DAL,2000,4399415,Maddy Siegrist,scenario,close,515,8.0,15.0,23.0,4.0,7.0,10.600000000000023,0.0,1.0,3.0,0.0,1.0,2.0,16.0,24.0,33.0
2026-05-14,,DAL,MIN,home,DAL,2000,4399415,Maddy Siegrist,scenario,medium,555,9.0,15.0,22.0,4.0,7.0,11.0,0.0,1.0,3.0,0.0,1.0,2.0,16.0,23.0,31.0
2026-05-14,,DAL,MIN,home,DAL,2000,4399415,Maddy Siegrist,scenario,blowout,930,9.0,16.0,24.0,4.0,7.0,10.0,0.0,1.0,3.0,0.0,1.0,3.0,17.0,25.0,34.0
2026-05-14,,DAL,MIN,home,DAL,2000,2529047,Odyssey Sims,scenario,close,515,6.0,11.0,18.0,1.0,3.0,6.0,1.0,3.0,6.0,0.0,1.0,2.0,12.0,18.0,26.0
2026-05-14,,DAL,MIN,home,DAL,2000,2529047,Odyssey Sims,scenario,medium,555,5.0,11.0,17.0,1.0,3.0,6.0,1.0,3.0,6.0,0.0,1.0,2.0,11.0,18.0,25.0
2026-05-14,,DAL,MIN,home,DAL,2000,2529047,Odyssey Sims,scenario,blowout,930,6.0,12.0,19.0,1.0,3.0,6.0,1.0,4.0,6.0,0.0,1.0,2.0,12.0,19.0,27.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433807,Aziaha James,scenario,close,515,5.0,10.0,17.0,2.0,5.0,9.0,0.0,2.0,4.0,0.0,1.0,2.0,11.0,18.0,26.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433807,Aziaha James,scenario,medium,555,5.0,10.0,17.0,3.0,5.0,8.0,0.0,2.0,4.0,0.0,1.0,2.0,11.0,18.0,25.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433807,Aziaha James,scenario,blowout,930,5.0,11.0,18.0,2.9000000000000057,5.0,8.0,1.0,2.0,4.0,0.0,1.0,2.0,11.0,18.0,27.0
2026-05-14,,DAL,MIN,home,DAL,2000,3913881,Alanna Smith,scenario,close,515,4.0,9.0,15.0,3.0,5.0,9.0,1.0,2.0,5.0,0.0,1.0,2.0,11.0,17.0,24.0
2026-05-14,,DAL,MIN,home,DAL,2000,3913881,Alanna Smith,scenario,medium,555,4.0,10.0,16.0,2.0,5.0,8.0,1.0,2.0,4.0,0.0,1.0,2.0,11.0,18.0,26.0
2026-05-14,,DAL,MIN,home,DAL,2000,3913881,Alanna Smith,scenario,blowout,930,5.0,11.0,18.0,3.0,6.0,9.0,1.0,3.0,5.0,0.0,1.0,2.0,13.0,20.0,28.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433790,Azzi Fudd,scenario,close,515,2.0,7.0,13.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,10.0,17.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433790,Azzi Fudd,scenario,medium,555,2.4000000000000057,7.0,12.600000000000023,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,5.0,10.0,16.0
2026-05-14,,DAL,MIN,home,DAL,2000,4433790,Azzi Fudd,scenario,blowout,930,3.0,8.0,13.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,11.0,18.0
2026-05-14,,DAL,MIN,home,DAL,2000,924,Alysha Clark,scenario,close,515,2.0,6.0,12.0,2.0,4.0,7.0,0.0,2.0,4.0,0.0,0.0,2.0,7.400000000000006,13.0,19.0
2026-05-14,,DAL,MIN,home,DAL,2000,924,Alysha Clark,scenario,medium,555,2.0,7.0,13.0,2.0,4.0,7.0,0.0,2.0,4.0,0.0,0.0,2.0,8.0,13.0,19.0
2026-05-14,,DAL,MIN,home,DAL,2000,924,Alysha Clark,scenario,blowout,930,2.0,7.0,13.0,2.0,4.0,7.0,0.0,2.0,4.0,0.0,1.0,2.0,8.0,14.0,20.0
2026-05-14,,DAL,MIN,home,DAL,2000,3906949,Jessica Shepard,scenario,close,515,2.0,5.0,11.0,3.0,5.0,9.0,0.0,2.0,4.0,0.0,0.0,1.0,8.0,13.0,20.0
2026-05-14,,DAL,MIN,home,DAL,2000,3906949,Jessica Shepard,scenario,medium,555,2.0,5.0,10.0,3.0,5.0,9.0,0.0,2.0,4.0,0.0,0.0,1.0,8.0,13.0,19.0
2026-05-14,,DAL,MIN,home,DAL,2000,3906949,Jessica Shepard,scenario,blowout,930,2.0,6.0,11.0,3.0,6.0,10.0,0.0,2.0,4.0,0.0,0.0,1.0,9.0,14.0,21.0
2026-05-14,,DAL,MIN,home,DAL,2000,4434015,JJ Quinerly,scenario,close,515,0.0,4.0,8.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,7.0,11.0
2026-05-14,,DAL,MIN,home,DAL,2000,4434015,JJ Quinerly,scenario,medium,555,0.0,4.0,8.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,7.0,11.0
2026-05-14,,DAL,MIN,home,DAL,2000,4434015,JJ Quinerly,scenario,blowout,930,0.0,4.0,9.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,13.0
2026-05-14,,DAL,MIN,home,DAL,2000,4594527,Dulcy Fankam Mendjiadeu,scenario,close,515,0.0,4.0,8.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,6.0,11.0
2026-05-14,,DAL,MIN,home,DAL,2000,4594527,Dulcy Fankam Mendjiadeu,scenario,medium,555,0.0,4.0,8.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,7.0,12.0
2026-05-14,,DAL,MIN,home,DAL,2000,4594527,Dulcy Fankam Mendjiadeu,scenario,blowout,930,0.0,4.0,8.100000000000023,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,8.0,13.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,close,515,0.0,2.0,5.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,8.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,medium,555,0.0,2.0,5.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,8.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,blowout,930,0.0,2.0,6.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,9.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529205,Kayla McBride,scenario,close,515,9.0,16.0,24.0,2.0,4.0,7.0,1.0,2.0,4.0,0.0,1.0,3.0,15.0,22.0,31.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529205,Kayla McBride,scenario,medium,555,8.0,16.0,24.0,2.0,4.0,6.600000000000023,0.0,2.0,4.0,0.0,1.0,3.0,14.0,22.0,30.0
